,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
0,,,,GTEX-1117F-0003-SM-58Q7G,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,GTEX-1117F-0003-SM-5DWSB,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,GTEX-1117F-0003-SM-6WBT7,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,GTEX-111CU-0003-SM-58Q95,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,GTEX-111CU-0003-SM-5DWTR,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,GTEX-111CU-0003-SM-6WBUD,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,GTEX-111FC-0001-SM-58Q7U,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,GTEX-111FC-0001-SM-5DWSO,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,GTEX-111FC-0001-SM-6WBTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,GTEX-111VG-0004-SM-58Q85,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,GTEX-111VG-0004-SM-5DWSX,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,GTEX-111VG-0004-SM-6WBTS,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,GTEX-111YS-0004-SM-58Q7Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,GTEX-111YS-0004-SM-5DWSS,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,GTEX-111YS-0004-SM-6WBTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,GTEX-111YS-0006-SM-5NQBE,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,GTEX-1122O-0003-SM-5Q5DL,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,GTEX-1122O-0004-SM-58Q7O,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,GTEX-1122O-0004-SM-5DWSJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,GTEX-1122O-0004-SM-6WBTE,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,GTEX-1122O-0005-SM-5O99J,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,GTEX-1128S-0001-SM-58Q96,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,GTEX-1128S-0001-SM-5DWTV,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,GTEX-1128S-0001-SM-6WBUH,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,GTEX-1128S-0005-SM-5P9HI,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,GTEX-113IC-0001-SM-58Q97,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,GTEX-113IC-0001-SM-5DWSI,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,GTEX-113IC-0001-SM-DLIPU,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,GTEX-113IC-0006-SM-5NQ9C,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,GTEX-113JC-0001-SM-58Q7M,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,GTEX-113JC-0001-SM-5DWSH,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,GTEX-113JC-0001-SM-6WBTD,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,GTEX-113JC-0006-SM-5O997,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,GTEX-117XS-0001-SM-58Q7J,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,GTEX-117XS-0001-SM-5DWSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,GTEX-117XS-0001-SM-6WBTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,GTEX-117XS-0005-SM-5PNU6,,,,,,,,,,,,,,,,,,,,,,,,,,,
